"a._id","a._parent","a.author","a.date","a.location","a.id_arbre","a.taxon","a.note"
251,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-584","Licania densiflora Kleinhoonte",null
253,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-585","Pachira flaviflora (Pulle) Fern.Alonso",null
255,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-586","Hebepetalum humiriifolium (Planch.) Benth.",null
258,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-588","Abarema gallorum Barneby & J.W.Grimes",null
260,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-589","Oenocarpus bacaba Mart.",null
262,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-590","Manilkara bidentata (A.DC.) A.Chev.",null
265,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-592","Eperua grandiflora (Aubl.) Baill.",null
267,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-593","Ocotea sp. 16 AMAP-IRD",null
269,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-622","Pouteria ambelaniifolia (Sandwith) T.D.Penn.",null
271,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-623","Macoubea guianensis Aubl.",null
272,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-628","Pouteria cayennensis (A.DC.) Eyma",null
274,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-630","Ilex martiniana D.Don",null
276,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-631","Licania alba (Bernoulli) Cuatrec.",null
277,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-636","Eperua grandiflora (Aubl.) Baill.",null
279,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-632","Chrysophyllum sanguinolentum (Pierre) Baehni",null
281,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-635","Andira coriacea Pulle",null
283,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-639","Tovomita sp. 10 AMAP-IRD",null
285,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-640","Moronobea coccinea Aubl.",null
287,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-641","Swartzia polyphylla DC.",null
288,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-648","Eperua grandiflora (Aubl.) Baill.",null
290,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-642","Sacoglottis guianensis Benth.",null
292,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-643","Licania alba (Bernoulli) Cuatrec.",null
